cond1rep1	cond1rep2	cond1rep3	cond1rep4	cond1rep5	cond2rep1	cond2rep2	cond2rep3	cond2rep4	cond2rep5
gene1	5655	5931	6514	5669	5526	5988	6810	6352	6472	6081
gene2	188	165	165	167	160	182	147	154	162	135
gene3	929	940	1054	1117	1045	2288	1978	1977	1812	1782
gene4	64	55	50	55	67	57	72	54	45	75
gene5	1084	1117	948	1104	1093	1012	1300	1128	997	1083
gene6	1054	1127	1007	1075	1014	1183	1306	1105	1087	1018
gene7	3366	3262	3678	3223	3592	3398	3381	3559	4043	3703
gene8	243	248	223	232	278	214	198	224	250	200
gene9	154	119	125	137	125	113	115	127	118	97
gene10	6655	8274	6441	7298	6457	7342	8868	6685	7723	7108
gene11	685	557	600	670	678	560	687	583	671	564
gene12	1148	1292	1103	986	1029	1177	1002	1057	1181	1000
gene13	45	44	25	27	28	43	35	53	35	28
gene14	3686	3632	4005	4212	4235	4307	3864	3815	3731	3656
gene15	477	426	441	484	422	447	532	517	457	478
gene16	227	172	185	173	217	202	162	182	218	189
gene17	827	748	873	719	821	760	851	677	782	678
gene18	3473	3780	4371	3332	3318	3811	3804	4065	4053	3902
gene19	3445	3765	3725	3684	3753	3426	3631	4126	4257	3443
gene20	3924	3286	2953	3140	2873	2952	3651	3152	3019	3063
gene21	267	225	210	206	250	229	205	220	253	231
gene22	546	608	645	545	648	552	613	526	607	623
gene23	50	40	35	44	38	77	96	70	47	69
gene24	28	31	26	38	31	27	31	29	32	19
gene25	26	47	30	20	42	31	29	36	34	39
gene26	120	107	111	115	99	112	138	83	111	127
gene27	6338	7242	5670	6971	7237	7001	6605	7761	6817	7084
gene28	9565	8271	9467	9459	9123	8843	10027	8914	9627	9343
gene29	5431	5160	6338	5075	5330	5602	5625	5243	5543	6024
gene30	396	362	304	301	335	361	300	382	330	373
gene31	233	235	268	223	206	241	192	216	204	239
gene32	6409	7272	6574	6118	7915	6215	7423	6756	7333	6877
gene33	533	666	568	666	605	517	584	532	605	669
gene34	1022	1096	1079	1081	1209	1212	1025	1077	1196	1056
gene35	18	10	12	9	17	22	34	29	27	31
gene36	8363	7919	8780	8694	8861	8928	7577	10484	8554	9518
gene37	15	17	20	15	27	27	20	17	23	20
gene38	376	328	326	335	349	376	407	410	377	372
gene39	1588	1588	1576	1592	1775	3250	3413	3655	2982	3046
gene40	105	100	106	95	93	107	80	79	77	85
gene41	24	15	16	19	21	26	13	25	14	23
gene42	6457	5559	5774	5944	5319	6447	5810	6490	6224	5844
gene43	250	221	230	229	234	191	233	206	184	200
gene44	113	64	90	92	86	92	90	97	73	102
gene45	47	38	41	51	33	43	44	41	37	30
gene46	2296	2222	2093	2286	2058	2164	1818	2400	2187	2073
gene47	6402	5736	6513	6256	6682	7104	6397	6461	7104	6378
gene48	84	81	104	78	98	73	81	81	82	75
gene49	83	114	77	93	101	106	82	71	96	88
gene50	2458	2441	2397	2258	2405	2408	2304	2524	2458	2302
gene51	19	9	17	20	22	20	17	17	23	20
gene52	3858	4206	4071	4740	4189	4912	4336	4582	5172	4251
gene53	246	234	213	236	244	234	212	235	222	231
gene54	22	19	21	26	15	21	29	21	23	21
gene55	15	12	16	9	13	14	22	21	13	22
gene56	17	29	21	23	29	21	27	20	18	27
gene57	144	128	154	176	150	155	143	161	154	165
gene58	5769	5621	5680	5961	6161	5982	6202	5772	5934	5860
gene59	2534	2413	2249	2219	2422	2402	2394	2156	2237	2226
gene60	7052	7177	7632	7145	7795	7653	7399	7527	6590	6292
gene61	2875	2775	2571	3044	2645	2500	2551	2738	2407	2258
gene62	5132	5101	6542	5066	5505	5564	6340	5801	5981	5568
gene63	330	405	353	365	459	277	401	340	337	336
gene64	64	51	48	44	47	43	52	43	52	57
gene65	49	37	50	52	52	58	43	55	49	51
gene66	560	478	526	518	479	517	493	468	474	564
gene67	828	785	836	697	709	759	730	686	791	813
gene68	39	30	29	36	28	31	23	27	28	23
gene69	10826	10192	10175	9912	9132	9842	10265	9584	9341	10104
gene70	79	91	93	86	100	78	80	94	86	80
gene71	7113	6933	7314	7478	6539	7455	7334	7469	6596	7576
gene72	3710	3771	3675	3738	3860	3477	3734	3924	3717	4151
gene73	4614	4618	4550	4086	4974	4328	4889	4781	4621	4835
gene74	6948	8167	6701	8544	7545	7636	7101	8223	7636	8353
gene75	2817	2278	2547	2337	2377	2665	2044	2283	2350	2038
gene76	475	465	455	445	420	402	431	442	364	390
gene77	63	71	63	71	85	138	148	118	121	123
gene78	8180	8072	8236	7774	7505	7958	8136	7246	7913	8816
gene79	85	75	77	92	78	83	84	72	81	73
gene80	3033	2893	2986	2995	3554	3364	3088	3375	3001	3160
gene81	848	957	900	731	790	858	810	787	841	854
gene82	1594	1595	1739	1541	1634	1670	1611	1704	1408	1531
gene83	14	15	18	18	29	20	19	21	26	15
gene84	1962	2115	1891	1857	2038	1900	2081	1808	1743	1655
gene85	6796	7156	7768	7323	7419	6876	6078	6671	8102	7505
gene86	6065	6951	5728	6523	6478	6170	6810	6247	6413	6315
gene87	3167	2883	2810	2970	3113	2648	3085	2957	2738	3159
gene88	13	11	13	19	11	12	24	16	8	11
gene89	166	172	211	165	161	159	201	173	171	179
gene90	1419	1472	1370	1396	1391	1161	1195	1461	1202	1376
gene91	261	287	275	280	279	299	296	287	335	289
gene92	480	457	486	427	434	844	894	889	870	882
gene93	246	213	213	239	212	213	220	202	249	275
gene94	22	28	29	32	23	31	26	28	23	22
gene95	1242	1208	1365	1379	1172	2572	2974	2363	2553	2301
gene96	6250	6859	6206	5780	5513	6068	6170	5760	5768	6223
gene97	5217	4827	4782	4676	4856	4922	4913	4881	4371	5390
gene98	7838	6854	7269	7070	7650	7099	7529	6633	7060	7517
gene99	51	53	49	46	49	58	39	40	46	52
gene100	5920	4830	4838	4966	5058	4943	5019	4220	5545	4684
gene101	1482	1397	1527	1703	1780	1651	1405	1689	1613	1501
gene102	118	78	99	113	101	79	89	101	90	89
gene103	5917	5866	6496	6227	6475	6973	6716	6396	6414	6082
gene104	1847	1933	1932	2031	2071	1911	2019	2037	1764	1879
gene105	7362	7312	7892	7567	7735	7321	7216	6616	7506	8449
gene106	58	78	84	88	73	147	146	140	144	159
gene107	925	942	907	945	996	1012	912	1017	906	835
gene108	253	282	303	209	257	295	256	242	274	290
gene109	200	190	275	234	247	238	258	244	221	202
gene110	89	77	74	47	72	75	71	77	87	100
gene111	475	537	563	563	549	527	513	571	546	606
gene112	922	1030	1039	1097	1027	1039	1006	1038	1232	1013
gene113	18	18	15	16	12	9	12	15	15	13
gene114	406	436	378	443	412	383	448	400	432	404
gene115	274	262	312	272	310	274	295	290	296	307
gene116	13	12	16	20	8	20	19	9	17	14
gene117	8755	9680	9154	10029	8572	8615	8491	8780	9730	7847
gene118	2721	2464	3070	2809	2466	2726	2603	2669	2927	2826
gene119	3272	3000	3734	3742	3505	6836	6745	6857	8081	6848
gene120	18	21	25	24	27	12	35	30	32	23
gene121	10626	9657	8630	10584	10235	9639	9946	9423	10505	10985
gene122	15	15	15	11	12	22	29	12	14	23
gene123	7747	7893	7942	6906	7264	6928	8227	7857	7482	7696
gene124	32	29	30	41	42	30	34	34	35	38
gene125	463	480	488	424	392	427	443	396	418	508
gene126	115	112	104	92	113	105	96	129	129	120
gene127	365	331	341	378	371	747	623	739	694	666
gene128	2970	3130	2644	2613	3128	5494	5229	6045	5777	5624
gene129	2755	2119	2459	2536	2804	2713	2527	2576	2688	2322
gene130	2997	3261	3015	3054	2780	2679	3074	3130	3403	2760
gene131	4352	4184	4312	4482	4435	3483	4789	3848	4195	4101
gene132	10206	9674	9211	8265	8996	8851	7983	9048	8579	9481
gene133	30	27	31	25	28	54	56	53	50	47
gene134	5264	4900	5002	5002	4919	5482	5005	4974	5095	4871
gene135	22	31	34	37	15	64	76	73	53	64
gene136	34	30	28	37	36	40	47	25	26	22
gene137	5540	5036	6468	5595	5143	6087	5536	5032	5500	5934
gene138	97	86	96	98	98	66	104	93	95	92
gene139	275	318	296	290	253	313	248	298	335	280
gene140	201	206	222	192	175	222	217	187	192	193
gene141	238	230	249	232	231	245	277	226	201	218
gene142	47	44	26	34	43	60	53	73	68	63
gene143	99	130	102	117	129	110	142	112	112	92
gene144	11	8	8	14	11	18	19	16	18	17
gene145	369	378	386	371	442	381	447	432	420	403
gene146	4134	3706	3573	3463	3408	7576	7493	7886	7005	7486
gene147	159	171	168	207	150	192	163	151	162	163
gene148	929	914	903	889	857	893	795	748	974	934
gene149	724	785	767	786	683	679	692	718	708	753
gene150	494	548	521	442	479	506	441	446	523	495
gene151	13	11	12	15	10	10	14	13	10	9
gene152	5145	5639	5552	5256	5581	5749	5461	5115	5152	5631
