,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75,gene76,gene77,gene78,gene79,gene80,gene81,gene82,gene83,gene84,gene85,gene86,gene87,gene88,gene89,gene90,gene91,gene92,gene93,gene94,gene95,gene96,gene97,gene98,gene99,gene100
sample1,11,292,4755,178,6,1956,1368,193,2424,278,7109,23,2203,16692,194,70,57,203,108,10444,1190,65,2289,1597,25094,905,15,1850,616,28,1157,222,308,49,1260,8744,8785,1244,46,1106,1040,857,1332,66,2046,10,12,329,372,355,955,2513,86,18,432,848,165,846,97,6330,57,733,11329,20850,1364,93,1023,854,25,1985,407,153,1514,45,212,139,843,116,260,258,99,60,36,43,4559,1313,161,1777,4021,163,733,279,66,445,1994,13,42340,31,3,806
sample2,228,63,316,75,49,667,1989,14,1123,21,9804,222,234,4782,1343,1262,842,3644,1051,1474,3374,77,2484,14654,1381,892,17,5350,522,95,767,542,29,355,2363,1357,7476,1878,857,14709,18795,1762,542,15,12423,39,25,132,893,568,71,746,16,19,67,64,273,92,53,499,236,256,3405,2584,2545,804,27948,719,90,15227,3065,329,293,15,558,68,62,328,17,18,18,24,750,10,11406,284,42,1660,22665,280,1932,51,34,5248,9314,253,2494,6,33,2327
sample3,260,65,208,83,58,634,1585,11,1263,21,11074,188,219,4499,1222,1337,717,3336,939,1118,2873,76,2168,18000,1026,925,18,6300,436,95,660,576,32,520,1897,994,8864,1790,961,19013,21115,1609,418,14,16649,41,28,139,731,740,63,836,17,22,50,47,336,79,42,488,231,228,2746,2147,2792,1067,27284,827,79,19103,3335,350,264,12,608,76,47,279,16,16,16,33,764,10,10552,313,55,1352,28149,347,2047,62,26,4760,9299,289,2138,7,34,2392
sample4,18,226,2666,164,8,1545,1605,131,2123,226,7716,36,1302,14367,276,141,84,326,182,6275,1487,65,2448,2476,14124,799,15,2151,599,40,954,256,246,77,1453,5650,8139,1378,77,1671,1693,1204,1226,47,3009,15,14,292,450,322,593,2350,65,17,287,553,178,604,80,3293,72,635,8664,14390,1593,154,1943,867,27,3188,514,169,944,39,255,111,533,159,187,144,58,48,57,39,4135,916,124,1797,6578,171,766,220,49,777,2807,24,24770,22,5,979
sample5,332,57,170,78,77,470,1969,7,991,19,12287,265,156,3733,1574,1787,1175,4843,1215,945,3893,88,2206,21651,721,983,15,7819,390,105,553,647,20,640,2116,667,9129,1886,1525,28546,34232,1724,353,12,25239,46,26,113,723,807,49,711,13,25,35,37,394,50,43,324,293,205,2418,1647,3148,1480,41997,672,93,22426,5277,327,190,13,661,65,35,315,13,11,12,29,1233,8,12241,255,50,1140,38034,335,1926,48,25,6196,12304,377,1612,5,46,2669
sample6,79,139,1283,81,14,1033,2248,74,2020,47,8113,75,481,11756,673,328,380,1423,466,5980,2030,60,2015,4658,7412,680,16,2011,918,72,1101,328,68,90,2329,5864,4651,1840,236,2562,5265,2202,1201,54,2992,23,19,201,801,248,316,856,41,9,254,188,135,404,82,1661,86,551,6919,12177,1062,184,7714,739,58,4491,836,325,753,35,271,62,315,328,37,96,42,23,161,27,9276,418,48,2139,6708,156,1470,79,61,2635,5049,71,9048,13,12,1876
sample7,20,226,3107,148,8,1535,1647,115,2649,172,6209,34,1236,15707,251,121,94,390,190,8080,1319,71,2140,2078,15815,801,13,2038,636,37,1176,253,242,63,1496,8451,6775,1487,83,1400,1848,1346,1213,68,2415,14,16,291,455,310,613,2004,73,15,380,590,165,676,91,3611,72,611,9543,16252,1380,130,2126,796,36,2868,577,180,1357,40,233,104,596,176,129,177,72,44,54,33,4813,888,107,2044,5834,190,726,185,62,957,2955,25,25850,22,5,947
sample8,130,143,1060,63,23,829,2383,50,1935,34,9261,121,319,10202,895,508,495,2049,748,4148,2383,57,2059,7038,4464,612,16,2308,868,82,882,316,50,110,2842,3890,4295,2208,340,3490,7765,2410,1025,46,4986,29,25,218,1050,262,199,734,37,9,226,147,161,329,88,1026,100,411,5387,8823,1140,219,11191,701,74,6595,1106,364,656,34,282,68,232,393,31,53,33,19,264,20,12658,270,44,1999,8769,176,2074,63,54,4096,5858,124,6059,9,17,2659
sample9,33,156,2026,137,10,1191,1708,80,1900,119,8163,52,890,10976,331,180,136,580,225,5337,1636,64,2569,3508,8827,854,15,2416,530,53,1095,274,131,96,1594,4938,7197,1510,123,2375,2807,1244,992,46,4211,20,17,251,523,390,411,1682,49,17,219,327,176,446,79,2683,92,514,6955,10542,1620,197,3637,877,40,3648,756,216,933,28,265,97,373,181,111,112,51,45,94,25,5888,725,102,1807,9260,197,853,177,53,1089,3210,43,17086,17,7,1235
sample10,88,143,1138,63,17,897,2355,47,1770,41,8654,100,409,9902,691,397,440,1769,583,4133,2135,61,2085,6295,5407,699,16,2430,663,81,974,303,54,106,2469,4365,4375,2123,297,3502,5981,2025,1026,49,4999,24,23,213,816,299,264,949,39,12,231,156,163,285,93,1253,96,449,5403,9364,1235,240,10923,742,64,5681,1166,330,640,31,344,70,260,370,33,63,38,22,234,23,10121,370,46,2073,8412,205,1761,79,53,3386,5372,90,6396,9,13,2048
